movieId,genres,average
tt0114709,Adventure|Animation|Children|Comedy|Fantasy,0.73442623
tt0113497,Adventure|Children|Fantasy,-0.200819672
tt0113228,Comedy|Romance,-0.636885246
tt0114885,Comedy|Drama|Romance,-0.96147541
tt0113041,Comedy,-0.67295082
tt0113277,Action|Crime|Thriller,-0.17295082
tt0114319,Comedy|Romance,-0.629508197
tt0112302,Adventure|Children,-0.949180328
tt0114576,Action,-0.891803279
tt0113189,Action|Adventure|Thriller,-0.02704918
tt0112346,Comedy|Drama|Romance,-0.463934426
tt0112896,Comedy|Horror,-0.893442623
tt0112453,Adventure|Animation|Children,-0.945901639
tt0113987,Drama,-0.857377049
tt0112760,Action|Adventure|Romance,-0.914754098
tt0112641,Crime|Drama,-0.337704918
tt0114388,Drama|Romance,-0.475409836
tt0113101,Comedy,-0.845901639
tt0112281,Comedy,-0.462295082
tt0113845,Action|Comedy|Crime|Drama|Thriller,-0.913934426
tt0113161,Comedy|Crime|Thriller,-0.344262295
tt0112722,Crime|Drama|Horror|Mystery|Thriller,-0.750819672
tt0112401,Action|Crime|Thriller,-0.891803279
tt0114168,Drama|Sci-Fi,-0.810655738
tt0113627,Drama|Romance,-0.423770492
tt0114057,Drama,-0.904098361
tt0114011,Children|Drama,-0.936065574
tt0114117,Drama|Romance,-0.905737705
tt0112682,Adventure|Drama|Fantasy|Mystery|Sci-Fi,-0.687704918
tt0115012,Crime|Drama,-0.980327869
tt0112792,Drama,-0.739344262
tt0114746,Mystery|Sci-Fi|Thriller,0.445901639
tt0112431,Children|Drama,-0.023770492
tt0112818,Crime|Drama,-0.468852459
tt0113442,Children|Comedy,-0.979508197
tt0112697,Comedy|Romance,-0.268032787
tt0112749,Drama,-0.982786885
tt0114279,Drama|War,-0.88442623
tt0112819,Action|Crime|Drama,-0.954098361
tt0114272,Drama,-0.945081967
tt0113855,Action|Adventure|Fantasy,-0.732786885
tt0114681,Comedy|Drama|Thriller,-0.773770492
tt0113347,Drama|Romance,-0.9
tt0114369,Mystery|Thriller,0.655737705
tt0114148,Animation|Children|Drama|Musical|Romance,-0.537704918
tt0114916,Drama|Romance,-0.993442623
tt0114814,Crime|Mystery|Thriller,0.751639344
tt0113819,Comedy|Drama|Romance,-0.795081967
tt0110299,Adventure|Drama,-0.980327869
tt0112499,Children|Comedy,-0.983606557
tt0113158,Drama,-0.991803279
tt0113321,Drama,-0.946721311
tt0110877,Comedy|Drama|Romance,-0.695081967
tt0113419,Adventure|Children|Fantasy,-0.763934426
tt0116260,Drama|Thriller,-0.953278689
tt0113862,Drama,-0.382786885
tt0116126,Comedy|Crime,-0.957377049
tt0118002,Comedy|Romance,-0.973770492
tt0115683,Comedy,-0.820491803
tt0116839,Action|Sci-Fi|Thriller,-0.948360656
tt0113149,Comedy|Romance,-0.963934426
tt0113118,Comedy,-0.843442623
tt0116367,Action|Comedy|Horror|Thriller,-0.593442623
tt0113010,Action,-0.977868852
tt0113537,Comedy|Drama,-0.951639344
tt0113828,Drama|War,-0.904918033
tt0115644,Drama|Romance,-0.93442623
tt0115676,Comedy|Drama,-0.973770492
tt0114367,Action|Sci-Fi|Thriller,-0.891803279
tt0113973,Documentary,-0.991803279
tt0112744,Action|Crime|Drama|Thriller,-0.978688525
tt0116731,Drama|Thriller,-0.895081967
tt0112445,Children|Drama,-0.983606557
tt0114660,Crime|Drama|Romance,-0.905737705
tt0112379,Comedy|Drama,-0.936065574
tt0114039,Drama|Romance,-0.993442623
tt0112365,Drama|Romance,-0.944262295
tt0118158,Action|Adventure|Drama,-0.877868852
tt0116151,Children|Comedy,-0.959836066
tt0115697,Comedy,-0.890983607
tt0113972,Action|Thriller,-0.930327869
tt0117002,Drama|Horror|Thriller,-0.952459016
tt0114825,Comedy|Horror|Romance,-0.943442623
tt0115639,Comedy|Drama|Romance,-0.918852459
tt0115759,Action|Adventure|Thriller,-0.445901639
tt0113403,Comedy|Drama,-0.992622951
tt0113247,Crime|Drama,-0.919672131
tt0113283,Documentary,-0.980327869
tt0115907,Drama|Thriller,-0.913114754
tt0115734,Adventure|Comedy|Crime|Romance,-0.819672131
tt0117102,Comedy,-0.972131148
tt0118040,Mystery|Sci-Fi|Thriller,-0.980327869
tt0116483,Comedy,-0.279508197
tt0112579,Drama|Romance,-0.83852459
tt0110251,Comedy|Drama,-0.991803279
tt0117110,Adventure|Children|Comedy|Musical,-0.81557377
tt0112646,Documentary,-0.991803279
tt0112573,Action|Drama|War,0.954918033
tt0075314,Crime|Drama|Thriller,-0.129508197
tt0113326,Action|Adventure|Comedy|Crime,-0.657377049
tt0115645,Drama|Mystery,-0.978688525
tt0112373,Documentary,-0.959836066
tt0115033,Crime|Drama,-0.993442623
tt0116606,Comedy|Romance,-0.98852459
tt0114536,Comedy,-0.986885246
tt0106473,Drama,-0.983606557
tt0103859,Comedy|Romance,-0.904098361
tt0109424,Drama|Mystery|Romance,-0.964754098
tt0116324,Comedy,-0.909836066
tt0110647,Adventure|Children|Fantasy,-0.96557377
tt0110217,Documentary,-0.993442623
tt0114131,Comedy|Romance,-0.995081967
tt0113451,Thriller,-0.962295082
tt0116130,Comedy,-0.799180328
tt0113756,Documentary,-0.993442623
tt0118055,Drama|Romance,-0.881967213
tt0115685,Comedy,-0.366393443
tt0112585,Comedy,-0.914754098
tt0112442,Action|Comedy|Crime|Drama|Thriller,-0.645081967
tt0112342,Adventure|Children,-0.978688525
tt0112461,Drama,-0.890163934
tt0112427,Drama,-0.990163934
tt0109093,Crime|Drama|Thriller,-0.995081967
tt0112384,Adventure|Drama|IMAX,0.596721311
tt0114287,Action|Drama|Romance|War,-0.672131148
tt0112288,Drama|Horror,-0.991803279
tt0112462,Action|Adventure|Comedy|Crime,-0.120491803
tt0061395,Drama,-0.904098361
tt0112495,Adventure|Drama|War,-0.966393443
tt0112541,Comedy|Drama,-0.978688525
tt0109370,Comedy|War,-0.930327869
tt0112642,Adventure|Children,-0.613114754
tt0112688,Crime|Drama|Mystery,-0.910655738
tt0112715,Action|Adventure|Mystery|Sci-Fi,-0.637704918
tt0112740,Drama|Thriller|War,-0.217213115
tt0109508,Documentary,-0.854918033
tt0112851,Action|Romance|Western,-0.506557377
tt0112857,Crime|Film-Noir|Mystery|Thriller,-0.900819672
tt0112864,Action|Crime|Thriller,0.075409836
tt0112887,Comedy|Crime|Drama,-0.981147541
tt0113071,Action|Drama|Romance,-0.63852459
tt0113114,Adventure|Children|Drama,-0.944262295
tt0113243,Action|Adventure|Crime|Thriller,-0.757377049
tt0113464,Comedy|Drama,-0.952459016
tt0113481,Action|Sci-Fi|Thriller,-0.680327869
tt0113492,Action|Crime|Sci-Fi,-0.62704918
tt0113500,Comedy,-0.939344262
tt0113540,Drama,-0.836885246
tt0113677,Comedy,-0.886885246
tt0113690,Horror,-0.950819672
tt0107447,Comedy|Drama,-0.996721311
tt0113729,Drama|Romance,-0.991803279
tt0113749,Comedy|Romance,-0.740163934
tt0113820,Action|Children,-0.909016393
tt0110604,Comedy|Horror|Thriller,-0.985245902
tt0110620,Drama,-0.985245902
tt0113957,Action|Crime|Thriller,-0.258196721
tt0113986,Comedy|Romance,-0.699180328
tt0114095,Comedy,-0.966393443
tt0114194,Fantasy|Horror|Mystery,-0.912295082
tt0114241,Comedy|Fantasy,-0.993442623
tt0114323,Thriller,-0.968852459
tt0114345,Drama|Romance,-0.966393443
tt0114436,Drama,-0.800819672
tt0114478,Comedy|Drama,-0.862295082
tt0114496,Comedy|Drama|Romance,-0.932786885
tt0114508,Horror|Sci-Fi,-0.729508197
tt0114558,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,-0.804918033
tt0058450,Drama|Musical|Romance,-0.966393443
tt0114663,Drama|Fantasy,-0.993442623
tt0114702,Drama|Romance,-0.993442623
tt0114682,Comedy,-0.840163934
tt0114781,Action,-0.817213115
tt0114798,Comedy|Drama,-0.93852459
tt0114805,Documentary,-0.986885246
tt0114887,Drama|Romance,-0.847540984
tt0114898,Action|Adventure|Sci-Fi,-0.262295082
